,Well,Qi_50,b_50,Qi_90,Qi_10
129,5103086970000,553.0,0.0,553.0,553.0
130,5103086960000,1688.0,0.0,1688.0,1688.0
131,5103086940000,498.0,0.0,498.0,498.0
132,5103086890000,657.0,0.0,657.0,657.0
133,5103086860000,1174.0,0.0,1174.0,1174.0
134,5103086850000,26.0,0.0,26.0,26.0
135,5103086830000,1163.0,0.0,1163.0,1163.0
136,5103086720000,326.0,0.0,326.0,326.0
137,5103086670000,254.0,0.0,254.0,254.0
138,5103086660000,2.0,0.0,2.0,2.0
139,5103086640000,1065.0,0.0,1065.0,1065.0
140,5103086300000,241.0,0.0,241.0,241.0
141,5103085750000,564.0,0.0,564.0,564.0
142,5103085630000,664.0,0.0,664.0,664.0
143,5103085620000,235.0,0.0,235.0,235.0
144,5103085220000,853.0,0.0,853.0,853.0
145,5103084980000,385.0,0.0,385.0,385.0
146,5103084970000,361.0,0.0,361.0,361.0
147,5103084910000,761.0,0.0,761.0,761.0
148,5103084810000,679.0,0.0,679.0,679.0
149,5103084800000,724.0,0.0,724.0,724.0
150,5103084500000,598.0,0.0,598.0,598.0
151,5103084380000,441.0,0.0,441.0,441.0
152,5103084370000,762.0,0.0,762.0,762.0
153,5103083190000,531.0,0.0,531.0,531.0
154,5103083170000,1442.0,0.0,1442.0,1442.0
155,5103082980000,1505.0,0.0,1505.0,1505.0
156,5103082970000,1194.0,0.0,1194.0,1194.0
157,5103082930000,,0.0,,
158,5103082920000,1053.0,0.0,1053.0,1053.0
159,5103081700000,446.0,0.0,446.0,446.0
160,5103081690000,890.0,0.0,890.0,890.0
161,5103079750000,1059.0,0.0,1059.0,1059.0
162,5103079740000,936.0,0.0,936.0,936.0
163,5103079520000,132.0,0.0,132.0,132.0
164,5103079480000,480.0,0.0,480.0,480.0
165,5103079450000,948.0,0.0,948.0,948.0
166,5103079360000,748.0,0.0,748.0,748.0
167,5103079160000,1610.0,0.0,1610.0,1610.0
168,5103079130000,870.0,0.0,870.0,870.0
169,5103079100000,631.0,0.0,631.0,631.0
170,5103079060000,607.0,0.0,607.0,607.0
171,5103078980000,486.0,0.0,486.0,486.0
172,5103078860000,1257.0,0.0,1257.0,1257.0
173,5103078770000,301.0,0.0,301.0,301.0
174,5103078730000,1218.0,0.0,1218.0,1218.0
175,5103078700000,1207.0,0.0,1207.0,1207.0
176,5103078690000,1548.0,0.0,1548.0,1548.0
177,5103078680000,1268.0,0.0,1268.0,1268.0
178,5103078580000,338.0,0.0,338.0,338.0
179,5103078570000,1052.0,0.0,1052.0,1052.0
180,5103078560000,2309.0,0.0,2309.0,2309.0
181,5103078400000,1643.0,0.0,1643.0,1643.0
182,5103078110000,699.0,0.0,699.0,699.0
183,5103078030000,817.0,0.0,817.0,817.0
184,5103077980000,886.0,0.0,886.0,886.0
185,5103077910000,1215.0,0.0,1215.0,1215.0
186,5103077860000,1034.0,0.0,1034.0,1034.0
187,5103077400000,890.0,0.0,890.0,890.0
188,5103077390000,670.0,0.0,670.0,670.0
189,5103077180000,1048.0,0.0,1048.0,1048.0
190,5103077170000,874.0,0.0,874.0,874.0
191,5103077150000,459.0,0.0,459.0,459.0
192,5103076870000,385.0,0.0,385.0,385.0
193,5103076520000,385.0,0.0,385.0,385.0
194,5103076510000,326.0,0.0,326.0,326.0
195,5103076500000,99.0,0.0,99.0,99.0
196,5103076490100,382.0,0.0,382.0,382.0
197,5103076480000,450.0,0.0,450.0,450.0
198,5103076470000,704.0,0.0,704.0,704.0
199,5103076380000,209.0,0.0,209.0,209.0
200,5103076370000,683.0,0.0,683.0,683.0
201,5103075980000,739.0,0.0,739.0,739.0
202,5103075720000,1690.0,0.0,1690.0,1690.0
203,5103075470000,600.0,0.0,600.0,600.0
204,5103075350000,560.0,0.0,560.0,560.0
205,5103075290000,310.0,0.0,310.0,310.0
206,5103075210000,692.0,0.0,692.0,692.0
207,5103075190000,250.0,0.0,250.0,250.0
208,5103075140000,574.0,0.0,574.0,574.0
209,5103075090000,359.0,0.0,359.0,359.0
210,5103075000000,756.0,0.0,756.0,756.0
211,5103074990000,690.0,0.0,690.0,690.0
212,5103074950000,184.0,0.0,184.0,184.0
213,5103074940000,1972.0,0.0,1972.0,1972.0
214,5103074900000,619.0,0.0,619.0,619.0
215,5103074650000,600.0,0.0,600.0,600.0
216,5103074610000,57.0,0.0,57.0,57.0
217,5103074540000,668.0,0.0,668.0,668.0
218,5103074470000,344.0,0.0,344.0,344.0
219,5103074400000,186.0,0.0,186.0,186.0
220,5103074340000,1188.0,0.0,1188.0,1188.0
221,5103074210000,944.0,0.0,944.0,944.0
222,5103074020000,338.0,0.0,338.0,338.0
223,5103073860000,275.0,0.0,275.0,275.0
224,5103073760000,107.0,0.0,107.0,107.0
225,5103073710000,796.0,0.0,796.0,796.0
226,5103073530000,47.0,0.0,47.0,47.0
227,5103073430000,380.0,0.0,380.0,380.0
228,5103073390000,935.0,0.0,935.0,935.0
229,5103073330000,159.0,0.0,159.0,159.0
230,5103073310000,543.0,0.0,543.0,543.0
231,5103073260000,673.0,0.0,673.0,673.0
232,5103073070000,1151.0,0.0,1151.0,1151.0
233,5103072930000,796.0,0.0,796.0,796.0
234,5103072890000,1083.0,0.0,1083.0,1083.0
235,5103072790000,431.0,0.0,431.0,431.0
236,5103072760000,772.0,0.0,772.0,772.0
237,5103072740000,697.0,0.0,697.0,697.0
238,5103072700000,99.0,0.0,99.0,99.0
239,5103072670000,457.0,0.0,457.0,457.0
240,5103072500000,985.0,0.0,985.0,985.0
241,5103072450100,178.0,0.0,178.0,178.0
242,5103072420000,345.0,0.0,345.0,345.0
243,5103072270000,511.0,0.0,511.0,511.0
244,5103072220000,483.0,0.0,483.0,483.0
245,5103072010000,332.0,0.0,332.0,332.0
246,5103071880000,544.0,0.0,544.0,544.0
247,5103071800000,524.0,0.0,524.0,524.0
248,5103071770000,180.0,0.0,180.0,180.0
249,5103071730000,351.0,0.0,351.0,351.0
250,5103071650000,200.0,0.0,200.0,200.0
251,5103071590000,88.0,0.0,88.0,88.0
252,5103071470000,361.0,0.0,361.0,361.0
253,5103071300000,632.0,0.0,632.0,632.0
254,5103071230000,326.0,0.0,326.0,326.0
255,5103071140000,26.0,0.0,26.0,26.0
256,5103071100000,102.0,0.0,102.0,102.0
257,5103071060000,74.0,0.0,74.0,74.0
258,5103070990000,106.0,0.0,106.0,106.0
259,5103070930000,687.0,0.0,687.0,687.0
260,5103070890000,,0.0,,
261,5103070830000,23.0,0.0,23.0,23.0
262,5103070780000,483.0,0.0,483.0,483.0
263,5103070720000,286.0,0.0,286.0,286.0
264,5103070570000,182.0,0.0,182.0,182.0
